id,name,phone,email,domain,address,city,zip,country
1,Oyoba,330-214-1100,contact@oyoba.com,Health Care,1920 Shelley Trail,Lille,59000,France
2,Yotz,594-402-5164,contact@yotz.com,Public Utilities,883 Express Drive,Nantes,44000,France
3,Buzzster,873-125-4617,contact@buzzster.com,n/a,808 Susan Alley,Paris,75000,France
4,Einti,208-162-1172,contact@einti.com,Finance,29 Hazelcrest Point,Rennes,35000,France
5,Tazz,668-287-9938,contact@tazz.com,Health Care,1439 Hooker Circle,Paris,75000,France
6,Photolist,377-718-6589,contact@photolist.com,n/a,3088 Laurel Center,Lille,59000,France
7,Brainverse,720-141-3180,contact@brainverse.com,Capital Goods,06 Bluejay Way,Rennes,35000,France
8,Skiptube,855-733-6158,contact@skiptube.com,Finance,570 Stang Drive,Rennes,35000,France
9,Flashdog,100-146-1005,contact@flashdog.com,Finance,435 Donald Road,Nantes,44000,France
10,Zoomzone,831-407-2212,contact@zoomzone.com,n/a,1 Mandrake Avenue,Rennes,35000,France
11,Youtags,624-297-9532,contact@youtags.com,Health Care,13 Brickson Park Lane,Paris,75000,France
12,Topicshots,849-342-5485,contact@topicshots.com,Health Care,10492 Quincy Drive,Paris,75000,France
13,Leenti,714-703-7108,contact@leenti.com,Health Care,0640 Manley Junction,Nantes,44000,France
14,Skibox,920-586-1910,contact@skibox.com,Consumer Services,4 Vahlen Court,Nantes,44000,France
15,Eire,539-948-3567,contact@eire.com,Energy,58377 Emmet Point,Nantes,44000,France
16,Podcat,184-955-7236,contact@podcat.com,Technology,7347 Heffernan Pass,Lille,59000,France
17,Babbleset,145-580-3855,contact@babbleset.com,Technology,147 Bunting Drive,Paris,75000,France
18,Lazzy,406-343-5289,contact@lazzy.com,Consumer Non-Durables,6072 American Ash Hill,Lille,59000,France
19,Edgeclub,634-340-4905,contact@edgeclub.com,Energy,22593 Hollow Ridge Way,Nantes,44000,France
20,Jamia,714-669-5131,contact@jamia.com,Public Utilities,053 Hoepker Hill,Nantes,44000,France
21,Muxo,643-825-1301,contact@muxo.com,Consumer Services,16245 Darwin Court,Rennes,35000,France
22,Realfire,102-266-9178,contact@realfire.com,Energy,38 Talisman Avenue,Lille,59000,France
23,Eadel,757-780-4296,contact@eadel.com,Health Care,7088 Larry Crossing,Rennes,35000,France
24,Jabberstorm,237-507-6805,contact@jabberstorm.com,Technology,39 Emmet Lane,Nantes,44000,France
25,Edgetag,163-697-7836,contact@edgetag.com,Finance,0150 Sloan Junction,Paris,75000,France
26,Twiyo,778-390-1731,contact@twiyo.com,Energy,53535 Talisman Terrace,Lille,59000,France
27,Kayveo,502-822-7124,contact@kayveo.com,n/a,856 Luster Center,Paris,75000,France
28,Tagfeed,894-142-1220,contact@tagfeed.com,Basic Industries,8 Briar Crest Road,Paris,75000,France
29,Thoughtbeat,111-939-9622,contact@thoughtbeat.com,n/a,0176 Scofield Lane,Lille,59000,France
30,Avamba,730-928-4899,contact@avamba.com,Transportation,42 Erie Pass,Lille,59000,France
31,Lajo,844-598-0536,contact@lajo.com,n/a,07799 Pawling Place,Paris,75000,France
32,Mudo,283-472-2931,contact@mudo.com,Capital Goods,9817 Hoepker Junction,Rennes,35000,France
33,Tazzy,502-920-4693,contact@tazzy.com,Energy,27 Old Shore Center,Lille,59000,France
34,Brightdog,208-421-3540,contact@brightdog.com,Consumer Services,1328 Lakewood Gardens Pass,Paris,75000,France
35,Wikizz,971-835-4312,contact@wikizz.com,Technology,2870 Ohio Lane,Paris,75000,France
36,Brightbean,128-649-4916,contact@brightbean.com,n/a,22662 Arrowood Crossing,Nantes,44000,France
37,Meejo,631-483-1436,contact@meejo.com,Finance,6022 Waxwing Parkway,Lille,59000,France
38,Zoozzy,250-166-6140,contact@zoozzy.com,Energy,323 Luster Terrace,Nantes,44000,France
39,Brainverse,335-738-4401,contact@brainverse.com,Energy,7 Tony Drive,Rennes,35000,France
40,Meejo,184-514-1189,contact@meejo.com,Finance,2 Holmberg Place,Rennes,35000,France
41,InnoZ,287-795-5111,contact@innoz.com,Basic Industries,14 Brentwood Center,Rennes,35000,France
42,Agivu,315-533-8254,contact@agivu.com,Consumer Services,07 Heffernan Junction,Rennes,35000,France
43,Quimm,272-570-2771,contact@quimm.com,Health Care,9831 Canary Court,Lille,59000,France
44,Tazzy,609-363-1623,contact@tazzy.com,Consumer Services,0866 Raven Lane,Rennes,35000,France
45,Meezzy,281-875-2795,contact@meezzy.com,Consumer Services,11 Drewry Terrace,Lille,59000,France
46,Miboo,751-545-1673,contact@miboo.com,Public Utilities,6833 Valley Edge Center,Nantes,44000,France
47,Katz,229-371-6455,contact@katz.com,Health Care,9 Nelson Drive,Rennes,35000,France
48,Jaxnation,393-747-7078,contact@jaxnation.com,n/a,68030 Spohn Terrace,Rennes,35000,France
49,Photobug,554-676-7020,contact@photobug.com,Consumer Non-Durables,2 Luster Center,Lille,59000,France
50,Vinder,986-227-2974,contact@vinder.com,Finance,11 Clove Place,Rennes,35000,France
51,Ailane,248-637-7088,contact@ailane.com,Consumer Services,5621 Schlimgen Parkway,Rennes,35000,France
52,Buzzbean,813-116-3412,contact@buzzbean.com,Public Utilities,598 Gateway Trail,Rennes,35000,France
53,Avamba,191-627-2627,contact@avamba.com,Consumer Services,63 Golf Course Place,Paris,75000,France
54,Yodoo,212-325-7281,contact@yodoo.com,Basic Industries,07436 Bonner Park,Rennes,35000,France
55,Skilith,278-931-2323,contact@skilith.com,Technology,4280 Drewry Center,Lille,59000,France
56,Skajo,846-446-1210,contact@skajo.com,n/a,0 Hallows Junction,Nantes,44000,France
57,Skyvu,308-338-3338,contact@skyvu.com,Health Care,370 Scofield Drive,Paris,75000,France
58,Youspan,776-200-8920,contact@youspan.com,Public Utilities,74221 Hanover Point,Lille,59000,France
59,Quinu,691-801-1910,contact@quinu.com,n/a,4 Spaight Road,Lille,59000,France
60,Skyble,465-719-5022,contact@skyble.com,Transportation,547 Dixon Road,Rennes,35000,France
61,Photojam,703-647-0235,contact@photojam.com,Consumer Durables,02 Trailsway Hill,Paris,75000,France
62,Feednation,841-668-6578,contact@feednation.com,n/a,0 Eastlawn Park,Nantes,44000,France
63,Aivee,114-341-8388,contact@aivee.com,Consumer Services,59 Talmadge Way,Rennes,35000,France
64,Mydo,730-524-3877,contact@mydo.com,n/a,231 Luster Trail,Lille,59000,France
65,Yambee,113-203-3356,contact@yambee.com,Health Care,538 Maple Circle,Nantes,44000,France
66,Eabox,655-250-9874,contact@eabox.com,n/a,0369 Eagan Park,Nantes,44000,France
67,Meeveo,993-564-0648,contact@meeveo.com,Miscellaneous,4 Delladonna Way,Nantes,44000,France
68,Devpulse,607-282-6346,contact@devpulse.com,n/a,448 Loomis Circle,Paris,75000,France
69,Skynoodle,735-424-9850,contact@skynoodle.com,Energy,96 Ronald Regan Terrace,Nantes,44000,France
70,Eimbee,801-926-7501,contact@eimbee.com,n/a,5081 Katie Alley,Nantes,44000,France
71,Katz,960-145-2221,contact@katz.com,Miscellaneous,0092 Green Road,Paris,75000,France
72,Photolist,235-488-2439,contact@photolist.com,Health Care,8660 Paget Plaza,Rennes,35000,France
73,Pixope,834-353-2980,contact@pixope.com,Basic Industries,17701 Transport Pass,Rennes,35000,France
74,Flipstorm,998-297-5121,contact@flipstorm.com,n/a,088 Michigan Pass,Paris,75000,France
75,Gabtype,265-480-0740,contact@gabtype.com,n/a,926 Mandrake Point,Rennes,35000,France
76,Vinte,383-710-6204,contact@vinte.com,Health Care,6 Old Gate Road,Paris,75000,France
77,Wikizz,518-547-3437,contact@wikizz.com,n/a,5366 Darwin Park,Paris,75000,France
78,Fanoodle,983-648-4902,contact@fanoodle.com,Public Utilities,3832 Sauthoff Pass,Rennes,35000,France
79,Gigazoom,911-935-8061,contact@gigazoom.com,Health Care,1 Victoria Road,Paris,75000,France
80,Oyope,926-642-0017,contact@oyope.com,Consumer Non-Durables,180 Lawn Road,Lille,59000,France
81,Quimba,958-217-6417,contact@quimba.com,n/a,35 Grover Road,Nantes,44000,France
82,Plambee,242-942-2875,contact@plambee.com,Capital Goods,622 Redwing Court,Nantes,44000,France
83,Jazzy,135-533-8725,contact@jazzy.com,Consumer Services,5 Hazelcrest Center,Nantes,44000,France
84,Topicblab,101-539-6703,contact@topicblab.com,n/a,2 Russell Lane,Paris,75000,France
85,Dabvine,292-178-7758,contact@dabvine.com,n/a,43655 Truax Trail,Nantes,44000,France
86,Mynte,275-771-0868,contact@mynte.com,Health Care,9800 Toban Avenue,Paris,75000,France
87,Trudoo,541-913-8445,contact@trudoo.com,Technology,1316 Colorado Hill,Paris,75000,France
88,Vinder,977-673-5612,contact@vinder.com,Consumer Services,222 Melby Pass,Lille,59000,France
89,Riffwire,734-846-3287,contact@riffwire.com,Technology,45 Hintze Circle,Paris,75000,France
